Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_43_567.jpg;0;1;0;1.217215;101.3473;88.12881;1.22808;56.1813;-0.0008502069
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_43_634.jpg;0;1;0;1.26018;101.3902;88.19231;1.232385;56.14471;-0.000729825
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_43_700.jpg;0;1;0;1.320734;101.4347;88.25809;1.235747;56.12205;-0.0007458914
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_43_767.jpg;0;1;0;1.368395;101.4965;88.34941;1.240704;56.09632;-0.0008661162
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_43_832.jpg;0;1;0;1.41707;101.5448;88.42066;1.246459;56.08138;-0.0009530102
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_43_900.jpg;0;1;0;1.462956;101.5946;88.49423;1.251138;56.0661;-0.000932543
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_43_966.jpg;0;1;0;1.525615;101.6636;88.59587;1.25567;56.0529;-0.0009853848
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_44_033.jpg;0;1;0;1.572321;101.7172;88.6748;1.258996;56.04026;-0.0009796217
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_44_100.jpg;0;1;0;1.634854;101.7724;88.75603;1.263598;56.03067;-0.001018346
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_44_167.jpg;0;1;0;1.68113;101.8484;88.86785;1.267571;56.01606;-0.001041966
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_44_233.jpg;0;1;0;1.726988;101.9072;88.9544;1.272702;56.00416;-0.001030225
